,V0207,V2020,V02426,V4621,faixas,Internet_Banda_Larga,Telefone_fixo
11101,Próprio-Ainda Pagando,Sim,Sim,1933.0,+1000,Sim,Sim
11103,Próprio-Já Pago,Sim,Sim,2500.0,+1000,Sim,Sim
11104,Alugado,Sim,Sim,20000.0,+1000,Sim,Sim
11110,Próprio-Já Pago,Sim,Sim,6250.0,+1000,Sim,Sim
11114,Próprio-Já Pago,Sim,Sim,1900.0,+1000,Sim,Sim
11116,Alugado,Sim,Sim,2500.0,+1000,Sim,Sim
11117,Próprio-Já Pago,Sim,Sim,815.0,900,Sim,Sim
11118,Alugado,Sim,Sim,2000.0,+1000,Sim,Sim
11119,Alugado,Sim,Não,1100.0,+1000,Não,Sim
11120,Próprio-Já Pago,Sim,Sim,1000.0,+1000,Sim,Sim
11121,Próprio-Ainda Pagando,Sim,Sim,1716.0,+1000,Sim,Sim
11122,Próprio-Já Pago,Não,Sim,672.0,700,Sim,Não
11123,Próprio-Já Pago,Sim,Sim,696.0,700,Sim,Sim
11125,Próprio-Já Pago,Não,Sim,1266.0,+1000,Sim,Não
11126,Alugado,Não,Não,606.0,700,Não,Não
11129,Próprio-Já Pago,Não,Sim,884.0,900,Sim,Não
11130,Próprio-Já Pago,Não,Sim,300.0,400,Sim,Não
11131,Próprio-Já Pago,Sim,Sim,950.0,1000,Sim,Sim
11132,Próprio-Já Pago,Não,Sim,1262.0,+1000,Sim,Não
11134,Próprio-Já Pago,Sim,Sim,2466.0,+1000,Sim,Sim
11135,Próprio-Já Pago,Não,Sim,2425.0,+1000,Sim,Não
11136,Próprio-Já Pago,Não,Sim,1025.0,+1000,Sim,Não
11140,Cedido por Empregador,Não,Sim,716.0,800,Sim,Não
11143,Próprio-Já Pago,Não,Não,57.0,100,Não,Não
11144,Alugado,Não,Não,309.0,400,Não,Não
11145,Próprio-Já Pago,Não,Sim,3350.0,+1000,Sim,Não
11155,Próprio-Já Pago,Não,Sim,1250.0,+1000,Sim,Não
11156,Próprio-Já Pago,Não,Sim,999999999999.0,+1000,Sim,Não
11158,Próprio-Já Pago,Sim,Sim,1545.0,+1000,Sim,Sim
11160,Próprio-Já Pago,Sim,Sim,3500.0,+1000,Sim,Sim
11161,Próprio-Já Pago,Não,Sim,999999999999.0,+1000,Sim,Não
11171,Próprio-Já Pago,Não,Não,150.0,200,Não,Não
11172,Próprio-Já Pago,Não,Sim,417.0,500,Sim,Não
11173,Próprio-Já Pago,Não,Não,400.0,500,Não,Não
11175,Cedido de outra forma,Não,Não,316.0,400,Não,Não
11176,Próprio-Já Pago,Não,Não,200.0,300,Não,Não
11177,Próprio-Já Pago,Não,Sim,995.0,1000,Sim,Não
11179,Alugado,Não,Não,1850.0,+1000,Não,Não
11182,Próprio-Já Pago,Sim,Não,1140.0,+1000,Não,Sim
11183,Próprio-Já Pago,Não,Não,604.0,700,Não,Não
11184,Próprio-Já Pago,Não,Não,180.0,200,Não,Não
11186,Próprio-Já Pago,Sim,Não,300.0,400,Não,Sim
11188,Próprio-Já Pago,Não,Não,75.0,100,Não,Não
11189,Alugado,Não,Não,394.0,400,Não,Não
11190,Próprio-Já Pago,Sim,Não,330.0,400,Não,Sim
11191,Próprio-Já Pago,Não,Sim,392.0,400,Sim,Não
11193,Próprio-Já Pago,Sim,Sim,1862.0,+1000,Sim,Sim
11194,Próprio-Já Pago,Não,Sim,110.0,200,Sim,Não
11195,Próprio-Já Pago,Sim,Sim,600.0,700,Sim,Sim
11197,Próprio-Já Pago,Não,Não,322.0,400,Não,Não
11201,Próprio-Já Pago,Não,Sim,1347.0,+1000,Sim,Não
11202,Próprio-Já Pago,Não,Sim,600.0,700,Sim,Não
11203,Próprio-Já Pago,Não,Não,375.0,400,Não,Não
11204,Próprio-Já Pago,Não,Não,869.0,900,Não,Não
11206,Próprio-Já Pago,Não,Não,2350.0,+1000,Não,Não
11207,Próprio-Já Pago,Não,Não,294.0,300,Não,Não
11208,Próprio-Já Pago,Não,Não,1000.0,+1000,Não,Não
11209,Próprio-Já Pago,Sim,Não,2017.0,+1000,Não,Sim
11212,Próprio-Já Pago,Não,Sim,691.0,700,Sim,Não
11213,Próprio-Já Pago,Não,Sim,570.0,600,Sim,Não
11214,Próprio-Já Pago,Sim,Não,616.0,700,Não,Sim
11215,Alugado,Não,Não,466.0,500,Não,Não
11216,Próprio-Já Pago,Não,Não,600.0,700,Não,Não
11218,Alugado,Não,Não,1150.0,+1000,Não,Não
11222,Próprio-Já Pago,Não,Não,397.0,400,Não,Não
11223,Próprio-Já Pago,Não,Não,1900.0,+1000,Não,Não
11224,Próprio-Já Pago,Sim,Não,800.0,900,Não,Sim
11227,Próprio-Já Pago,Não,Sim,2300.0,+1000,Sim,Não
11231,Próprio-Já Pago,Não,Não,788.0,800,Não,Não
11232,Próprio-Já Pago,Não,Não,250.0,300,Não,Não
11239,Próprio-Já Pago,Não,Não,630.0,700,Não,Não
11240,Alugado,Não,Não,1231.0,+1000,Não,Não
11246,Próprio-Já Pago,Não,Não,516.0,600,Não,Não
11250,Próprio-Já Pago,Não,Sim,197.0,200,Sim,Não
11251,Próprio-Já Pago,Não,Sim,212.0,300,Sim,Não
11252,Próprio-Já Pago,Sim,Sim,3350.0,+1000,Sim,Sim
11254,Próprio-Já Pago,Sim,Sim,1153.0,+1000,Sim,Sim
11255,Próprio-Já Pago,Não,Sim,1333.0,+1000,Sim,Não
11256,Próprio-Já Pago,Sim,Sim,1469.0,+1000,Sim,Sim
11257,Próprio-Já Pago,Sim,Sim,4200.0,+1000,Sim,Sim
11258,Próprio-Já Pago,Não,Sim,788.0,800,Sim,Não
11260,Próprio-Já Pago,Sim,Sim,2320.0,+1000,Sim,Sim
11262,Próprio-Já Pago,Não,Não,80.0,100,Não,Não
11264,Próprio-Já Pago,Sim,Sim,2900.0,+1000,Sim,Sim
11266,Alugado,Não,Sim,8500.0,+1000,Sim,Não
11267,Alugado,Sim,Sim,3250.0,+1000,Sim,Sim
11269,Próprio-Já Pago,Sim,Sim,11750.0,+1000,Sim,Sim
